,filepath,class
0,Emiliania_huxleyi/IFCB5_2011_346_200422_01210.png,Emiliania_huxleyi
1,Emiliania_huxleyi/IFCB5_2013_352_094651_04684.png,Emiliania_huxleyi
2,Emiliania_huxleyi/IFCB5_2013_325_230315_03372.png,Emiliania_huxleyi
3,Emiliania_huxleyi/IFCB1_2013_025_195855_00645.png,Emiliania_huxleyi
4,Emiliania_huxleyi/IFCB5_2011_326_192626_06514.png,Emiliania_huxleyi
5,Emiliania_huxleyi/IFCB5_2011_326_175336_05917.png,Emiliania_huxleyi
6,Emiliania_huxleyi/IFCB1_2012_331_150331_00581.png,Emiliania_huxleyi
7,Emiliania_huxleyi/IFCB1_2013_302_163814_02741.png,Emiliania_huxleyi
8,Emiliania_huxleyi/IFCB5_2011_326_181649_04182.png,Emiliania_huxleyi
9,Emiliania_huxleyi/IFCB5_2011_346_194109_05453.png,Emiliania_huxleyi
10,Emiliania_huxleyi/IFCB5_2011_326_194937_03390.png,Emiliania_huxleyi
11,Emiliania_huxleyi/IFCB5_2011_346_200422_00375.png,Emiliania_huxleyi
12,Emiliania_huxleyi/IFCB5_2012_009_221223_04916.png,Emiliania_huxleyi
13,Emiliania_huxleyi/IFCB5_2013_352_092339_03810.png,Emiliania_huxleyi
14,Emiliania_huxleyi/IFCB5_2013_352_094651_05663.png,Emiliania_huxleyi
15,Emiliania_huxleyi/IFCB5_2011_326_194937_03702.png,Emiliania_huxleyi
16,Emiliania_huxleyi/IFCB5_2013_352_090027_01936.png,Emiliania_huxleyi
17,Emiliania_huxleyi/IFCB5_2011_318_035238_00972.png,Emiliania_huxleyi
18,Emiliania_huxleyi/IFCB1_2013_314_061144_01490.png,Emiliania_huxleyi
19,Emiliania_huxleyi/IFCB5_2013_343_170548_00886.png,Emiliania_huxleyi
20,Emiliania_huxleyi/IFCB5_2013_352_092339_05236.png,Emiliania_huxleyi
21,Emiliania_huxleyi/IFCB5_2011_326_192626_07451.png,Emiliania_huxleyi
22,Emiliania_huxleyi/IFCB5_2013_325_230315_05101.png,Emiliania_huxleyi
23,Emiliania_huxleyi/IFCB5_2011_326_170712_01103.png,Emiliania_huxleyi
24,Emiliania_huxleyi/IFCB5_2011_326_181649_06963.png,Emiliania_huxleyi
25,Emiliania_huxleyi/IFCB5_2014_002_203908_01819.png,Emiliania_huxleyi
26,Emiliania_huxleyi/IFCB5_2014_002_201555_01411.png,Emiliania_huxleyi
27,Emiliania_huxleyi/IFCB1_2006_354_185546_02022.png,Emiliania_huxleyi
28,Emiliania_huxleyi/IFCB5_2013_352_092339_02078.png,Emiliania_huxleyi
29,Emiliania_huxleyi/IFCB5_2011_346_200422_02990.png,Emiliania_huxleyi
30,Emiliania_huxleyi/IFCB5_2011_326_201250_05426.png,Emiliania_huxleyi
31,Emiliania_huxleyi/IFCB5_2013_343_175211_02874.png,Emiliania_huxleyi
32,Emiliania_huxleyi/IFCB5_2011_318_035238_01892.png,Emiliania_huxleyi
33,Emiliania_huxleyi/IFCB5_2011_326_170712_04066.png,Emiliania_huxleyi
34,Emiliania_huxleyi/IFCB5_2011_326_173024_00187.png,Emiliania_huxleyi
35,Emiliania_huxleyi/IFCB5_2011_318_034046_00013.png,Emiliania_huxleyi
36,Emiliania_huxleyi/IFCB5_2011_326_184000_09497.png,Emiliania_huxleyi
37,Emiliania_huxleyi/IFCB5_2011_326_175336_07696.png,Emiliania_huxleyi
38,Emiliania_huxleyi/IFCB5_2011_326_173024_09295.png,Emiliania_huxleyi
39,Emiliania_huxleyi/IFCB5_2011_318_031734_02077.png,Emiliania_huxleyi
40,Cylindrotheca/IFCB1_2006_171_001337_02151.png,Cylindrotheca
41,Cylindrotheca/IFCB5_2013_144_013228_01656.png,Cylindrotheca
42,Cylindrotheca/IFCB5_2014_060_062630_06065.png,Cylindrotheca
43,Cylindrotheca/IFCB5_2014_038_215230_04477.png,Cylindrotheca
44,Cylindrotheca/IFCB5_2013_262_125811_04684.png,Cylindrotheca
45,Cylindrotheca/IFCB1_2009_146_180320_00227.png,Cylindrotheca
46,Cylindrotheca/IFCB5_2012_078_063051_05701.png,Cylindrotheca
47,Cylindrotheca/IFCB1_2009_206_002806_04901.png,Cylindrotheca
48,Cylindrotheca/IFCB1_2008_347_184742_01975.png,Cylindrotheca
49,Cylindrotheca/IFCB5_2011_361_063456_01841.png,Cylindrotheca
50,Cylindrotheca/IFCB5_2012_066_183442_00870.png,Cylindrotheca
51,Cylindrotheca/IFCB5_2014_078_003154_06566.png,Cylindrotheca
52,Cylindrotheca/IFCB1_2009_195_210249_06283.png,Cylindrotheca
53,Cylindrotheca/IFCB1_2010_141_161721_06909.png,Cylindrotheca
54,Cylindrotheca/IFCB1_2010_141_164059_03239.png,Cylindrotheca
55,Cylindrotheca/IFCB5_2012_066_181129_01800.png,Cylindrotheca
56,Cylindrotheca/IFCB1_2006_205_032616_02388.png,Cylindrotheca
57,Cylindrotheca/IFCB5_2013_352_094651_01431.png,Cylindrotheca
